,target_-0.000513,target_-0.000249,target_0.000015,target_0.000279,target_0.000543,target_0.000807,target_0.001072,target_0.001336,target_0.001600,target_0.001864
WY,4.0229635919920765e-10,5.079298135335348e-13,2.6504919675750977e-25,5.132530468993148e-08,1.408646035764323e-24,0.00013022519013487004,5.696018499327775e-25,3.1852698399745823e-22,5.430152960792144e-29,3.497205687147232e-24
TECH,1.5053349575355595e-11,0.007469704535669521,3.331033237817378e-05,0.0007230162906161542,0.0001901646657039851,0.013868615610298705,0.00017891748551507417,3.8094893768058875e-37,1.21028573209427e-09,4.1153979812071807e-05
CB,3.618569258313024e-15,9.257859126956991e-22,0.0002677043584533417,0.00012612686685857036,1.1358185825852493e-23,9.681930663420426e-05,0.000514967668648758,3.9297483285948723e-23,6.008330675206607e-28,2.2296340686008053e-06
WDC,4.830854788440469e-17,3.2295438663591373e-09,2.195888107557559e-05,0.006145364567856214,6.875109815180823e-16,5.266981302883586e-09,2.363584370887105e-22,1.5760253765598163e-20,1.0759997847843854e-32,4.965027609845562e-11
META,8.761928577552052e-17,0.002397294720937797,0.00047147219152991293,0.006512435852447647,0.010326979891080756,0.003920610927087774,7.326265873341194e-05,0.06715419667404837,8.421517693534104e-12,9.41414002554425e-06
SNPS,8.025667352992005e-11,1.3500406392245389e-21,1.7293007196565457e-24,0.0003033787213733788,1.1522268386206562e-08,2.7907455842701277e-24,0.0018549022738460937,5.132037378315039e-24,4.235365974619306e-35,4.697267748856944e-07
BXP,3.3370350462386956e-09,6.5587899419249e-14,1.5405481170675795e-05,3.6144852256530694e-08,8.385468956638007e-13,6.8500898048986745e-12,3.177405204334435e-24,4.3646777059467195e-37,1.7909919460603226e-28,8.502311441848642e-11
CMCSA,4.523691097324713e-16,2.5991827274596702e-12,2.4548283272102077e-25,1.7281432772524892e-20,7.287372920278196e-14,0.000498122008994477,1.6353674851816897e-21,4.0326695666304523e-25,5.907379964042364e-29,2.1292086914850352e-07
EQT,5.495400812532925e-13,0.0003003297089809351,1.3532667103471394e-10,2.221136549225202e-05,6.166540758928602e-14,5.605783756184802e-05,7.945617840641747e-18,1.039776665057132e-06,1.707232902634163e-12,2.4046470489001286e-12
A,4.4320511667063957e-16,2.506604618641369e-14,6.231810307186875e-21,2.3825837795094863e-20,1.0051960761043737e-13,4.8382578553008736e-05,2.7093364967339537e-21,2.123368925969333e-25,6.073503203238834e-30,7.993901435820435e-24
SYK,7.268688327823735e-11,1.8746094526858792e-13,1.550323159838539e-26,2.4366949777941507e-23,6.734859345470117e-12,2.7907455842701277e-24,0.001446764118429346,1.845882847870348e-21,6.78673527336548e-32,1.5282076898572429e-15
CDW,1.8345295858491354e-16,1.1283674584755e-12,2.1029364601976748e-05,3.2990582179084256e-24,9.118462319778782e-13,2.7907455842701277e-24,0.000447220800226307,8.176036387633576e-25,5.054263151347503e-35,6.293552640348324e-18
MGM,4.1960193327324516e-16,4.648956142432091e-14,3.5593018405552205e-10,1.9481284333266674e-12,3.565940009434593e-14,1.2548901926721553e-09,0.0010700584651679725,3.0356791142815148e-21,7.743878929904036e-28,6.93657908174681e-15
RCL,2.5508502003909134e-12,1.6621782090130123e-14,8.486246095110781e-07,9.221342247293034e-14,8.588532675629106e-14,7.987136335099412e-13,6.38398610416188e-25,2.3132080982283933e-20,0.0004504056749924602,5.155367553655296e-27
TYL,2.2370741287202765e-05,6.552383288246703e-07,2.7438388366324146e-24,1.6619511987691672e-10,1.5482699648696014e-10,4.446013127940707e-05,4.238884455176037e-21,1.5235804257099784e-22,1.6340075019750713e-31,3.073901206006746e-22
TT,8.674442411517499e-13,3.2149418601397453e-15,1.3240842204536712e-26,5.509228255472546e-25,1.522743824589905e-13,4.292459819359977e-09,8.669681036556086e-22,1.085818487053017e-20,1.479790026595991e-27,2.0976884201027527e-19
FCX,1.5008467931514755e-10,5.4871441363574155e-14,8.170588376888727e-26,2.1384921187731558e-13,1.392633324874573e-13,2.7907455842701277e-24,9.268167813216413e-27,4.090241498511504e-21,1.322752957978173e-29,2.4021785792981822e-06
FFIV,2.0281590421499586e-17,0.0006393227121899423,6.545790221869315e-05,0.0017386141477576168,0.0019499316886306742,0.008816869471652205,5.1302980342194216e-36,0.00024620885589607004,1.1574405997594908e-43,3.927686939730284e-07
AKAM,1.43756641950538e-14,2.9882721578646753e-16,1.9217762872535722e-13,1.8016412290975925e-05,8.55564650945107e-14,0.0010196727069890217,0.0002459133353134359,3.4276869148074238e-37,2.1552031849199224e-08,8.455403411120567e-06
ADP,1.3662325492258853e-16,3.625693465803388e-14,3.060290211072952e-14,2.9125682879811743e-25,8.06415674697494e-14,2.7907455842701277e-24,1.4268714067477527e-20,2.4623648409539836e-25,1.346141645229083e-11,1.3379205417028914e-07
URI,2.4408606614658925e-09,5.416217330415597e-14,1.2382851406136678e-17,1.7662017991718685e-30,3.030744721215895e-11,0.00029703983547529683,8.587029551507404e-21,3.662120703538549e-18,3.8840312113165576e-11,1.4670505989677796e-12
WMB,7.817231936734728e-12,1.2230499691253876e-14,2.406714967071031e-07,0.005555603532343933,2.504983775402914e-12,3.4639533386666574e-08,3.3045272433702972e-22,3.859660193068175e-18,9.086360488980124e-14,1.291308495733028e-27
CAH,5.399926131547743e-10,7.156184472708771e-17,2.934945655015206e-38,0.009231580330817642,0.006436968062636528,0.0012462645334711604,1.9959608257281037e-21,0.00010179854786122578,0.0014772218772106755,6.39311104116594e-09
JBL,4.75029630932324e-16,3.671407966908875e-14,4.02742086092811e-07,1.783187659708951e-11,2.4495889215375563e-11,2.7907455842701277e-24,6.133679347584778e-05,4.453045797796293e-22,2.980451510393259e-77,1.6854611702417027e-09
MPWR,8.005693956153396e-17,1.1673133399353034e-12,6.432302737516918e-11,8.118631674708038e-14,7.564312273807735e-14,0.000509846783378011,1.1990861868958952e-24,5.01446273747444e-19,3.0653517443476644e-27,4.345162181914777e-14
NWSA,2.4286216173350454e-09,8.029884646039894e-14,1.5186053303929136e-26,8.771039250100214e-14,8.171279834354985e-14,2.7907455842701277e-24,2.0224868528893147e-24,2.192969361924085e-22,3.0927187175845065e-28,1.4667610511839095e-18
BEN,7.141730355555682e-16,1.136721352509635e-15,2.1203155406218233e-15,3.038484536962163e-12,2.8306409407396685e-12,2.7907455842701277e-24,2.490503541405172e-23,4.624492710142429e-25,2.435682040933674e-26,1.0962194291623542e-26
CINF,2.215754186668773e-15,8.435614739885303e-14,5.177680476380084e-23,4.095354901025025e-13,3.8151568807768015e-13,2.7907455842701277e-24,8.591785714513441e-20,2.324369098671314e-19,9.243348229795885e-28,6.705064136279097e-17
UAL,8.76496299724329e-16,5.26234534444082e-14,2.3577536017908403e-15,1.0494453993388354e-14,9.776605846057634e-15,1.578271490518764e-08,2.399885671962951e-18,9.66688235902135e-25,3.8215131874178003e-32,5.195085839956006e-22
CCI,3.8836332408278463e-11,0.00028875019931302333,3.30426369236365e-05,0.020959047839309408,0.011152346790515823,0.004668353559825083,6.435415888422179e-05,3.1890571990807624e-37,1.7628744998603045e-11,5.884234940059623e-28
PANW,1.1247337306833412e-16,9.977125111574992e-07,1.9651956848910345e-05,0.0019834175796368068,0.002013755657373249,0.012611746667696388,0.007770081698283023,0.0012308871721721717,5.182539692615314e-09,0.0004845317823870233
WRB,4.805566193124792e-16,2.7357326353973904e-05,3.81460649540969e-26,7.060514097768726e-12,6.577556435804041e-12,2.7907455842701277e-24,4.678701906745577e-09,1.2035958417771486e-20,3.3817601530841175e-51,7.964989826725534e-07
HPQ,3.6357772867648753e-09,5.255804068640721e-10,7.56091274872382e-14,2.648813744705752e-14,2.4671393830353454e-14,1.1584303937286552e-05,3.597751273168944e-20,1.8978275508863475e-24,4.263017863993443e-12,9.635400677409785e-24
FDS,2.225571138966997e-16,3.241496734945899e-13,5.084865272157076e-25,1.2070242247289068e-12,1.1244597887127059e-12,4.2234019618052634e-05,0.00014425520626827496,1.3245816488834448e-21,0.7738219888749202,0.944338030557309
GE,2.0440862338032003e-11,2.884095349289054e-14,1.8813432574534213e-08,3.2970858330484126e-14,3.071173707885248e-14,2.7907455842701277e-24,5.863023847138556e-16,2.050688152881661e-22,9.650656800394453e-35,0.0007581805507888951
CAG,3.5971091367608567e-16,8.269854907381793e-06,0.0005724368277589047,0.0006032856187702447,0.0005436950613396199,0.02156401911577878,0.00014972052202847294,0.016870965906803485,6.10322808497572e-08,2.58234080088426e-26
EIX,2.9789148014614525e-08,8.119300703296051e-15,3.0357850223525353e-23,9.853252988483674e-12,9.17925617086e-12,6.820873357552018e-13,7.023016596084194e-24,1.5217649532675595e-21,3.780249576076493e-27,2.1294850870624395e-19
CBRE,7.167647637794978e-17,1.44242369688504e-15,4.191660876820747e-27,6.20184433793201e-14,5.77801541589388e-14,2.7907455842701277e-24,4.506372699233812e-13,1.0727513566725136e-24,2.394568248370598e-12,0.00018096525517877725
DG,6.144215319374984e-16,0.0005500443387001481,9.530844865546998e-05,0.13949005178010235,0.12486840986694789,0.014511892592737398,0.07420652815331891,0.29225334261763297,0.0002414480733117432,1.417993534480975e-37
DLTR,1.7237131857337117e-17,3.190738449041886e-14,1.3803793077847271e-17,4.294610457945449e-12,4.000847851259529e-12,7.471766040792149e-13,6.0524785420069125e-21,4.689219281478117e-25,1.5116327309081058e-28,4.382666811537388e-21
