target_median,lambda,median,mad,target_mad,median_error,abs_median_error,is_chosen_lambda
0.001335756910366137,30,0.001335756910366137,0.008995475992528233,0.008995475992528233,0.0,0.0,False
0.001335756910366137,100,0.001335756910366137,0.007699415838959689,0.007699415838959689,0.0,0.0,False
0.001335756910366137,300,0.001335756910366137,0.007450302870044716,0.007450302870044716,0.0,0.0,False
0.001335756910366137,1000,0.001335756910366137,0.008416096864682369,0.008416096864682369,0.0,0.0,False
0.001335756910366137,3000,0.001335756910366137,0.008995261288890104,0.008995261288890104,0.0,0.0,False
0.001335756910366137,10000,0.001335756910366137,0.0073949881978070875,0.0073949881978070875,0.0,0.0,True
0.0015999254403975538,10,0.0015999254403975538,0.009455970391754975,0.009455970391754975,0.0,0.0,True
0.0015999254403975538,30,0.0015999254403975538,0.009922272309032436,0.009922272309032436,0.0,0.0,False
0.0015999254403975538,100,0.0015999254403975538,0.010239310128660424,0.010239310128660424,0.0,0.0,False
0.0015999254403975538,300,0.0015999254403975538,0.009804492621624238,0.009804492621624238,0.0,0.0,False
0.0015999254403975538,1000,0.0015999254403975538,0.010833530476088366,0.010833530476088366,0.0,0.0,False
0.0015999254403975538,3000,0.0015999254403975538,0.010870764771376393,0.010870764771376393,0.0,0.0,False
0.0015999254403975538,10000,0.0015999254403975538,0.011543063110801501,0.011543063110801501,0.0,0.0,False
0.0018640939704289705,10,0.0017940003918064163,0.009208761473517202,0.009209590286157211,-7.009357862255419e-05,7.009357862255419e-05,False
0.0018640939704289705,30,0.0018640939704289705,0.010631588286916509,0.010631588286916509,0.0,0.0,True
0.0018640939704289705,100,0.0018640939704289705,0.012068696086854885,0.012068696086854885,0.0,0.0,False
0.0018640939704289705,300,0.0018640939704289705,0.014602057178777363,0.014602057178777363,0.0,0.0,False
0.0018640939704289705,1000,0.0018640939704289705,0.012929037650225317,0.012929037650225317,0.0,0.0,False
0.0018640939704289705,3000,0.0018640939704289705,0.017566303330942678,0.017566303330942678,0.0,0.0,False
0.0018640939704289705,10000,0.0018640939704289705,0.01167656769599993,0.01167656769599993,0.0,0.0,False
